State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Wisconsin,West Allis,Milwaukee County,FALSE,N/A,60411,60410,60428,60496,60705,60815,60779,60734,60353,59872,59492
Michigan,Royal Oak,Oakland County,FALSE,N/A,57236,57231,57260,57692,58138,58565,58768,58750,59225,59370,59461
Pennsylvania,Lancaster,Lancaster County,FALSE,N/A,59322,59333,59347,59482,59473,59468,59483,59508,59546,59532,59420
Michigan,St. Clair Shores,Macomb County,FALSE,N/A,59715,59765,59767,59794,59986,60187,60091,59920,59799,59692,59409
Tennessee,Bartlett,Shelby County,FALSE,N/A,54613,56925,57011,57360,58201,58211,58334,58641,58853,59050,59315
Ohio,Springfield,Clark County,FALSE,N/A,60608,60565,60533,60260,60077,59870,59730,59442,58893,59206,59282
Illinois,Des Plaines,Cook County,FALSE,N/A,58364,58385,58458,58732,58994,59136,59138,58856,58478,58120,58959
Indiana,Greenwood,Johnson County,FALSE,N/A,49791,51183,51227,52091,52863,53721,54512,55337,56416,57433,58778
California,Gilroy,Santa Clara County,TRUE,Pacific,48821,48888,49013,49709,50738,51924,52576,53292,55409,57579,58756
California,San Rafael,Marin County,TRUE,Pacific,57713,57696,57796,58229,58452,59005,59146,59095,58932,58794,58704
Montana,Great Falls,Cascade County,FALSE,N/A,58505,59100,59220,59376,59257,59528,59343,59270,58879,58842,58701
Maryland,Bowie,Prince George's County,FALSE,N/A,54727,55335,55498,56041,56621,57155,57811,58287,58485,58596,58682
Florida,Margate,Broward County,TRUE,Atlantic,53284,53120,53243,54189,54830,55271,55686,56755,57849,58205,58656
Oregon,Corvallis,Benton County,FALSE,N/A,54462,54494,54400,54727,55138,54711,55522,56341,57220,58413,58641
California,Arcadia,Los Angeles County,TRUE,Pacific,56364,56327,56348,56627,56850,57279,57593,57934,58359,58498,58610
Colorado,Commerce City,Adams County,FALSE,N/A,45913,45905,46172,47557,48582,49797,51551,53245,54631,56063,58449
Illinois,Orland Park,"Cook County, Will County",FALSE,N/A,56767,56638,56696,57002,57278,58527,58657,58605,58997,58658,58312
California,Huntington Park,Los Angeles County,TRUE,Pacific,58114,58112,58115,58331,58537,58768,58952,58997,58780,58555,58173
California,Santee,San Diego County,TRUE,Pacific,53413,53420,53642,54525,55395,56179,56867,57530,57754,57900,58115
New York,White Plains,Westchester County,TRUE,Atlantic,56853,56859,56942,57178,57256,57659,57748,58032,58002,58358,58111
Iowa,Dubuque,Dubuque County,FALSE,N/A,57637,57605,57688,57907,58163,58486,58573,58602,58287,58267,57941
Indiana,Kokomo,Howard County,FALSE,N/A,45468,58061,58066,58076,58078,58071,58027,57853,57644,57797,57869
Massachusetts,Medford,Middlesex County,FALSE,N/A,56173,56304,56425,56840,57276,57424,57572,57811,57849,57783,57765
Florida,Sarasota,Sarasota County,TRUE,Gulf of Mexico,51917,52102,52216,52520,52953,53151,54019,54963,56446,57186,57738
Massachusetts,Weymouth Town,Norfolk County,TRUE,Atlantic,53743,53762,53830,54176,55062,55458,55737,55807,55914,56744,57719
Florida,Bradenton,Manatee County,TRUE,Gulf of Mexico,49546,49270,49308,49637,50207,51180,52259,53832,55037,56659,57644
Tennessee,Hendersonville,Sumner County,FALSE,N/A,51372,51333,51480,52273,52916,53824,54856,55588,56551,57541,57576
Wyoming,Casper,Natrona County,FALSE,N/A,55316,55313,55256,56079,57674,59475,59660,59990,58896,57812,57461
Florida,Bonita Springs,Lee County,TRUE,Gulf of Mexico,43914,43928,44073,45033,46337,47659,49361,51820,54355,56106,57370
Texas,Euless,Tarrant County,FALSE,N/A,51277,51272,51420,52057,52767,53156,53587,54183,54902,55273,57346
Oklahoma,Midwest City,Oklahoma County,FALSE,N/A,54371,54371,54583,55399,56263,56866,57125,57315,57462,57241,57325
Washington,Richland,Benton County,FALSE,N/A,48058,48105,48487,50227,51381,52169,52871,54045,54742,56328,57303
Massachusetts,Taunton,Bristol County,TRUE,Atlantic,55874,55874,55899,55921,56042,56164,56718,56879,56958,56970,57296
Arizona,Casa Grande,Pinal County,FALSE,N/A,48571,48555,48945,48904,49468,49798,51405,52751,54339,55815,57232
Missouri,St. Peters,St. Charles County,FALSE,N/A,52575,52578,52777,53388,54035,54798,55984,56714,57126,57146,57127
North Carolina,Huntersville,Mecklenburg County,FALSE,N/A,46773,46763,46959,48035,49280,50534,51595,52830,55120,56201,57098
North Dakota,Grand Forks,Grand Forks County,FALSE,N/A,52838,52921,53038,52758,53561,54896,55800,56527,56740,56796,56948
California,Hanford,Kings County,FALSE,N/A,53967,54371,54399,54551,54473,54707,55059,55585,55647,56332,56910
Washington,Shoreline,King County,TRUE,Pacific,53007,53031,53180,53793,54508,54857,55317,55657,55751,56586,56752
Georgia,Smyrna,Cobb County,FALSE,N/A,51271,51188,51292,51783,52480,53235,54582,55749,56419,56435,56706
Idaho,Caldwell,Canyon County,FALSE,N/A,46237,46319,46512,47246,47689,48963,50129,51543,53098,54732,56541
Georgia,Valdosta,Lowndes County,FALSE,N/A,54518,54764,54980,55784,57159,56094,56312,55822,55843,56048,56426
Florida,Palm Beach Gardens,Palm Beach County,TRUE,Atlantic,48452,49100,49217,49760,50514,51413,52575,53616,54709,55512,56284
California,Diamond Bar,Los Angeles County,TRUE,Pacific,55544,55552,55572,55846,56096,56256,56318,56484,56656,56411,56275
Idaho,Pocatello,"Bannock County, Power County",FALSE,N/A,54255,54233,54331,54690,54770,54470,54423,54790,54986,55436,56266
Illinois,Tinley Park,"Cook County, Will County",FALSE,N/A,56703,56836,56894,57100,57291,57404,57409,57249,56985,56606,56204
Texas,Leander,"Williamson County, Travis County",FALSE,N/A,26521,27271,27697,29115,30645,32804,35332,39076,43864,49882,56111
New Jersey,New Brunswick,Middlesex County,TRUE,Atlantic,55181,54500,54887,55294,55412,55907,55899,56033,56215,56145,56100
California,Fountain Valley,Orange County,TRUE,Pacific,55313,55360,55472,55956,56338,56632,56715,56704,56503,56128,55814
California,Novato,Marin County,TRUE,Pacific,51904,51872,51974,52682,53229,54155,54879,55437,55939,55707,55655
Colorado,Parker,Douglas County,FALSE,N/A,45297,45337,45523,46093,47035,48354,49501,51021,52614,54085,55636
Michigan,Dearborn Heights,Wayne County,FALSE,N/A,57774,57774,57640,57273,57115,56656,56602,56317,56082,55847,55616
Massachusetts,Chicopee,Hampden County,FALSE,N/A,55298,55305,55305,55583,55795,55882,56233,55789,55342,55363,55582
Illinois,Oak Lawn,Cook County,FALSE,N/A,56690,56690,56732,56925,57089,57191,57134,56860,56494,56016,55511
Nevada,Carson City,N/A,FALSE,N/A,55274,55274,54986,54679,54319,53736,54096,54069,54147,54608,55414
California,Highland,San Bernardino County,FALSE,N/A,53104,53100,53214,53668,53948,54169,54353,54585,54786,55232,55406
Kansas,Lenexa,Johnson County,FALSE,N/A,48190,48212,48289,48858,49349,50278,50926,52425,53011,53547,55294
New York,Hempstead,Nassau County,TRUE,Atlantic,53891,54018,54082,54186,54987,55478,55496,55418,55380,55373,55255
Missouri,Blue Springs,Jackson County,FALSE,N/A,52575,52620,52683,52777,53003,53174,53489,54016,54397,54852,55104
Ohio,Kettering,"Montgomery County, Greene County",FALSE,N/A,56163,56143,56143,56007,55935,55809,55565,55394,55261,55175,55103
Arizona,Lake Havasu City,Mohave County,FALSE,N/A,52527,52531,52578,52787,52797,52794,53042,53422,53829,54411,55090
Indiana,Anderson,Madison County,FALSE,N/A,56129,56169,56151,55883,55532,55561,55358,55121,55082,55033,55037
Texas,Port Arthur,Jefferson County,TRUE,Gulf of Mexico,53818,54376,54505,54906,54574,54746,54565,55449,55670,55544,55018
Kansas,Manhattan,"Riley County, Pottawatomie County",FALSE,N/A,52281,52158,52526,54145,56597,56104,55685,56481,55237,55132,54959
Mississippi,Southaven,DeSoto County,FALSE,N/A,48982,48979,49124,49746,50393,50963,51724,52500,53161,54085,54944
Illinois,Berwyn,Cook County,FALSE,N/A,56657,56653,56673,56794,56900,56938,56812,56477,56037,55480,54917
California,Cathedral City,Riverside County,FALSE,N/A,51200,51254,51476,52100,52509,52890,53238,53572,54003,54465,54902
Connecticut,West Haven,New Haven County,TRUE,Atlantic,55564,55564,55570,55505,55283,55132,55293,54876,54644,54836,54879
Oregon,Tigard,Washington County,FALSE,N/A,48035,48205,48327,49240,49820,50368,50686,51070,51960,53350,54758
Illinois,Normal,McLean County,FALSE,N/A,52497,52543,52635,53108,54016,54662,54514,54291,54404,54469,54742
California,Colton,San Bernardino County,FALSE,N/A,52154,52150,52265,52716,52962,53131,53741,54334,54553,54722,54741
Georgia,Stonecrest,DeKalb County,FALSE,N/A,(X),50190,50241,50709,51521,52071,52599,53333,54066,54323,54522
Oregon,Albany,"Linn County, Benton County",FALSE,N/A,50158,50142,50327,50943,51017,50941,51352,51657,52689,53481,54453
California,Rosemead,Los Angeles County,TRUE,Pacific,53764,53771,53798,54030,54239,54435,54482,54510,54423,54310,54412
California,Paramount,Los Angeles County,TRUE,Pacific,54098,54098,54107,54334,54594,54882,54949,55017,54840,54666,54387
Alabama,Decatur,"Morgan County, Limestone County",FALSE,N/A,55683,55783,55812,55887,55804,55439,55246,55007,54678,54347,54264
North Carolina,Rocky Mount,"Edgecombe County, Nash County",FALSE,N/A,57477,57700,57685,57415,56757,56335,55919,55052,55041,54682,54242
Illinois,Mount Prospect,Cook County,FALSE,N/A,54167,55037,55084,55265,55429,55620,55798,55562,55196,54706,54198
Georgia,Brookhaven,DeKalb County,FALSE,N/A,(X),49607,49659,50113,50908,51446,51959,52673,53152,53689,54145
Minnesota,Apple Valley,Dakota County,FALSE,N/A,49084,49092,49146,49488,49723,49928,50204,50965,51963,52432,54121
Florida,St. Cloud,Osceola County,FALSE,N/A,35183,37816,38011,39499,41201,42532,44631,46726,48505,51548,54115
Tennessee,Kingsport,"Sullivan County, Hawkins County",FALSE,N/A,48205,53007,52963,52927,52751,52828,52838,52778,52539,53515,54076
Virginia,Harrisonburg,Rockingham County,FALSE,N/A,48914,48900,48991,49932,51315,51550,52558,52755,53701,53907,54033
Texas,Grapevine,"Tarrant County, Dallas County",FALSE,N/A,46334,46336,46611,47106,48441,50138,50805,51469,52100,54029,53976
Minnesota,Minnetonka,Hennepin County,FALSE,N/A,49734,49737,49798,50644,51235,51444,51565,51758,52473,52927,53953
California,Watsonville,Santa Cruz County,TRUE,Pacific,51199,51204,51271,51584,51885,52420,52975,53548,53808,53937,53920
Virginia,Leesburg,Loudoun County,FALSE,N/A,42616,42614,43038,44510,46056,47695,49326,50917,52471,54027,53917
Ohio,Elyria,Lorain County,FALSE,N/A,54533,54528,54488,54321,54163,54118,54083,53924,53877,53823,53881
North Carolina,Apex,Wake County,FALSE,N/A,37476,37621,37885,38884,40546,42280,43960,45554,47449,50444,53852
Massachusetts,Revere,Suffolk County,TRUE,Atlantic,51755,51737,51872,52653,53270,53731,53844,54012,54021,54163,53821
North Carolina,Burlington,Alamance County,FALSE,N/A,49963,50862,50959,50952,50985,51107,51270,51667,51995,52981,53748
California,West Sacramento,Yolo County,FALSE,N/A,48744,48744,48847,49111,49548,50009,51688,52465,52946,53324,53727
California,Yucaipa,San Bernardino County,FALSE,N/A,51367,51347,51476,51960,52298,52579,52774,53034,53246,53556,53682
Nebraska,Bellevue,Sarpy County,FALSE,N/A,50137,51531,51645,51864,52411,52792,52715,52976,53328,53487,53627
Texas,DeSoto,Dallas County,FALSE,N/A,49047,49043,49349,50208,51250,51640,52118,52700,53192,53660,53523
Florida,Apopka,Orange County,FALSE,N/A,41542,42140,42357,43711,45056,46198,47761,49040,50381,52123,53489
New Jersey,Hoboken,Hudson County,TRUE,Atlantic,50005,50015,50054,50764,51486,52187,52480,52856,53673,53668,53455
Massachusetts,Peabody,Essex County,TRUE,Atlantic,51251,51266,51403,51633,51913,52243,52489,52661,52809,53008,53278
California,Palm Desert,Riverside County,FALSE,N/A,48445,48450,48685,49248,49779,50370,50933,51570,52096,52802,53185
Illinois,Wheaton,DuPage County,FALSE,N/A,52894,53014,53072,53385,53551,53751,53759,53724,53514,53396,53150
Connecticut,Milford,New Haven County,TRUE,Atlantic,51271,51271,51311,51383,51560,51668,51988,52146,52550,52826,53120
Florida,Pinellas Park,Pinellas County,TRUE,Gulf of Mexico,49079,49348,49329,49737,50002,50339,51219,51820,52469,52804,53098
California,Delano,Kern County,FALSE,N/A,53041,53040,53127,53619,52405,52342,52468,52528,52610,52914,53014
New Jersey,West New York,Hudson County,TRUE,Atlantic,49708,49700,49834,50501,50852,51256,51540,52552,52615,52733,52990
Florida,Pensacola,Escambia County,TRUE,Gulf of Mexico,51923,52009,52015,51841,52145,52268,52433,52471,52667,52516,52713
Washington,Olympia,Thurston County,FALSE,N/A,46478,46881,47062,47687,48082,48469,49325,49846,50728,51664,52555
Minnesota,Edina,Hennepin County,FALSE,N/A,47941,47980,48037,48682,49201,49503,49710,50265,51448,51796,52490
Indiana,Elkhart,Elkhart County,FALSE,N/A,50949,51932,51865,51929,52004,52182,52315,52532,52487,52415,52367
Illinois,Oak Park,Cook County,FALSE,N/A,51878,51878,51898,52016,52110,52275,52167,52443,52102,52191,52265
California,Glendora,Los Angeles County,TRUE,Pacific,50073,50253,50365,50618,50803,51142,51097,51820,51947,52068,52002
New Jersey,Perth Amboy,Middlesex County,TRUE,Atlantic,50814,50827,50919,51137,51563,51737,51853,51734,51802,51871,51928
Washington,Burien,King County,TRUE,Pacific,33313,48081,48225,48813,49553,49962,50364,50720,51435,52050,51908
Michigan,Kentwood,Kent County,FALSE,N/A,48707,48701,48733,49185,49755,50361,50873,51367,51753,51784,51868
California,Aliso Viejo,Orange County,TRUE,Pacific,47823,48098,48227,48908,49487,50001,50014,49988,51368,51492,51783
South Carolina,Summerville,"Dorchester County, Berkeley County, Charleston County",TRUE,Atlantic,43392,42868,43078,43880,44606,45846,47256,49107,50077,51330,51692
California,Placentia,Orange County,TRUE,Pacific,50533,50917,50998,51510,51859,52136,52150,52260,52221,51982,51671
Utah,Logan,Cache County,FALSE,N/A,48174,48218,48463,49053,49115,49079,49074,49826,50712,51172,51619
Texas,Wylie,"Collin County, Dallas County, Rockwall County",FALSE,N/A,41427,41677,42047,43647,44881,45535,46702,47657,48859,49957,51585
Wisconsin,La Crosse,La Crosse County,FALSE,N/A,51320,51348,51381,51228,51966,51891,52148,52036,51851,51751,51567
Nebraska,Grand Island,Hall County,FALSE,N/A,48520,48651,48816,49394,49903,50330,50894,50971,51286,51267,51478
Idaho,Coeur d'Alene,Kootenai County,FALSE,N/A,44137,44159,44283,44998,45510,46242,47626,48767,49825,50632,51303
Missouri,Florissant,St. Louis County,FALSE,N/A,52158,52299,52274,52464,52417,52304,52213,52117,51700,51439,51272
Michigan,Battle Creek,Calhoun County,FALSE,N/A,52347,52400,52315,51985,51868,51787,51773,51553,51451,51329,51247
Illinois,Hoffman Estates,"Cook County, Kane County",FALSE,N/A,51895,51891,51944,52150,52316,52415,52368,52133,51871,51505,51197
Arkansas,Bentonville,Benton County,FALSE,N/A,35301,35325,35828,37190,38712,40436,41966,44713,47127,49341,51111
Florida,Coral Gables,Miami-Dade County,TRUE,Atlantic,46780,46747,46967,48048,49499,50215,50637,50771,50919,51171,50999
Tennessee,Smyrna,Rutherford County,FALSE,N/A,39974,40384,40550,41383,42106,43497,45709,46922,48504,49916,50775
Washington,Lacey,Thurston County,FALSE,N/A,42393,42586,42752,43470,43989,44809,45316,46122,47366,49700,50718
Massachusetts,Methuen Town,Essex County,TRUE,Atlantic,47255,47320,47438,47789,48123,48706,49388,49802,49972,50334,50698
New Jersey,Plainfield,Union County,TRUE,Atlantic,49808,49694,49769,49914,50077,50333,50430,50596,50416,50527,50693
Missouri,Joplin,"Jasper County, Newton County",FALSE,N/A,50150,50793,50906,48339,48470,48882,49385,49764,50167,50467,50657
Tennessee,Collierville,Shelby County,FALSE,N/A,43965,45603,45662,45944,46433,47356,48757,48981,49456,50231,50616
California,Cerritos,Los Angeles County,TRUE,Pacific,49041,49051,49052,49239,49414,49547,49586,49617,50436,50792,50462
Texas,Galveston,Galveston County,TRUE,Gulf of Mexico,47743,47743,47796,47558,48118,48687,49296,49741,50238,50434,50457
Alabama,Madison,"Limestone County, Madison County",FALSE,N/A,42938,43190,43552,44249,45135,45880,46574,47107,48099,49151,50440
Oklahoma,Stillwater,Payne County,FALSE,N/A,45688,45691,45723,46228,46695,47404,48439,49090,49724,49999,50391
Texas,Little Elm,Denton County,FALSE,N/A,25898,25906,26226,27789,29171,33130,35793,38810,43105,46504,50314
Ohio,Lakewood,Cuyahoga County,FALSE,N/A,52131,52131,52026,51657,51399,51259,51092,50819,50542,50244,50100
Ohio,Newark,Licking County,FALSE,N/A,47573,47558,47614,47718,47807,48033,48286,48591,48944,49485,50029
Arizona,Maricopa,Pinal County,FALSE,N/A,43482,43490,43689,43869,44032,44817,45546,46109,46913,48005,50024
Oklahoma,Enid,Garfield County,FALSE,N/A,49379,49379,49502,49518,50025,50802,51134,51509,50837,50052,49585
New York,Troy,Rensselaer County,FALSE,N/A,50129,50162,50081,50012,49843,49913,49959,49772,49593,49433,49374
Michigan,Saginaw,Saginaw County,FALSE,N/A,51508,51483,51377,51021,50740,50287,49811,49243,48919,48716,48323
New York,Niagara Falls,Niagara County,FALSE,N/A,50193,50173,50138,49893,49659,49459,49215,48896,48643,48374,48144
West Virginia,Charleston,Kanawha County,FALSE,N/A,51400,51338,51272,50988,50861,50662,50142,49466,48784,48028,47215
